"rank","name","pop2021","pop2010","change","density"
"376","McKinleyville","17208","15177","0.1338","318.1764"
"377","Truckee","17131","16167","0.0596","204.5729"
"378","Ripon","17122","14453","0.1847","1241.5703"
"379","Live Oak","16837","17158","-0.0187","2004.8153"
"380","Rosedale","16820","14058","0.1965","221.8608"
"381","Bostonia","16603","15379","0.0796","3329.2227"
"382","Los Osos","16533","14276","0.1581","500.1361"
"383","El Segundo","16504","16656","-0.0091","1166.4264"
"384","Artesia","16399","16519","-0.0073","3906.7655"
"385","Rio Linda","16359","15106","0.0829","638.9960"
"386","Stanford","16326","13809","0.1823","2296.0540"
"387","East San Gabriel","16256","14874","0.0929","4019.4942"
"388","McFarland","16240","12723","0.2764","2350.1457"
"389","Vincent","16225","0","","4254.8226"
"390","Parlier","16170","14614","0.1065","2592.0149"
"391","Discovery Bay","16159","13352","0.2102","1652.5553"
"392","Fillmore","16126","15013","0.0741","1851.0653"
"393","Cherryland","16066","14728","0.0908","5176.6692"
"394","Phelan","15987","14304","0.1177","102.7191"
"395","Walnut Park","15896","15966","-0.0044","8207.9033"
"396","Kerman","15872","13634","0.1641","1875.6662"
"397","Livingston","15854","13068","0.2132","1665.6686"
"398","Parkway","15818","14670","0.0783","2540.9870"
"399","East Rancho Dominguez","15792","15135","0.0434","7417.4973"
"400","Ukiah","15683","16024","-0.0213","1265.6665"
"401","Laguna Woods","15652","16012","-0.0225","1806.6664"
"402","Avocado Heights","15426","15411","0.0010","2201.3588"
"403","Pacific Grove","15265","15081","0.0122","2061.8320"
"404","La Palma","15234","15545","-0.0200","3298.0522"
"405","Clearlake","15091","15267","-0.0115","575.2239"
"406","Coto de Caza","15056","14866","0.0128","753.0636"
"407","Red Bluff","15011","14086","0.0657","766.5361"
"408","Alamo","14905","14570","0.0230","594.9150"
"409","Alpine","14878","14236","0.0451","214.4598"
"410","Susanville","14826","17725","-0.1636","720.5482"
"411","Lamont","14799","15120","-0.0212","1244.8374"
"412","Lemon Hill","14733","13729","0.0731","3478.2260"
"413","Auburn","14429","13345","0.0812","776.2326"
"414","North Fair Oaks","14372","14687","-0.0214","4631.2737"
"415","King City","14291","12902","0.1077","1416.2405"
"416","North Auburn","14269","13022","0.0958","707.3772"
"417","California City","14260","13467","0.0589","27.0409"
"418","Tehachapi","14235","14367","-0.0092","541.4750"
